"","Plasma.T.rd","Time.trap","Time.bled","Time.delay","FW.No","ABBBS.No.","Current.Colors","Year","Date","recap","Site","Bander","Sex","Sexed.how.","Age","Aged.how.","Plumage.Type","wing","tarsus","tail","Top.Culm","Brood.Patch","Shoulder.Area","Eyebrow","White.Chin","fat","Ectoparasites","Molt.wing","Molt.total","bird.weight","status","Breed.stage","Blood.hemato","Blood.plasma","Plasma.T","Molt.","Eccentric.molt.","Minimum.T.","Eggs","MTresid","logMTresid","Eyebrow.Length","Playback.Used.","index","Sample","pg.in.tube","recovery","total.pg","Plasma.mL","prop.in.assay","mL.in.tube","pg.mL","minTmerge","Subspecies","jul_date","Time_delay_sec","MoltYN","BreedYN","sunrise","Time.trap.sec","T_aft_sunrise","LPlasma.T","minT_compiled","andr.detected"
"12",158.25,"7:47:00","7:56:00","0:09:00","12-04040",36041,"EWO","2014","6/6/14",1,"Garuahi","MA","M","S, CP","3+","Known","Glossy",46.5,23.5,41,11.3,NA,NA,"N",NA,0,NA,1,4,9.73,NA,"Prebreed",33.5,34.1,158.2544294,0,NA,"yes",NA,0.403699468,0.044843137,NA,"N",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",157,540,"Yes","No",21600,28020,6420,5.06420405052199,"yes",0
"13",164.39,"8:50:00","8:54:00","0:04:00","11-07033",11031,"KOO","2014","7/18/14",1,"Garuahi","EDE","F","S, BP","4+","Known","Black",43.8,22.5,45.2,12.5,"Yes",248.71,"L","L",1,1,1,6,10.09,"BF","Prebreed",36.6,37.7,164.3928904,0,"NO","no",NA,1.306688559,0.142086021,NA,"N",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",199,240,"Yes","No",21600,31800,10200,5.10225923594486,"no",1
"14",181.67,"16:50:00","16:59:00","0:09:00","11-07040",11039,"W","2014","6/14/14",1,"Garuahi","EDE","F","Known","4+","Known","Black",42.1,NA,42.6,12,NA,269.66,"N","N",1,1,0,4,8.57,NA,"Prebreed",33.2,29,181.6697954,0,NA,"yes",NA,0.316166579,0.040330531,NA,"N",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",165,540,"Yes","No",21600,60600,39000,5.20219072823215,"yes",0
"15",185.35,"7:17:00","7:44:00","0:27:00","14-04023",36127,"KBO","2014","6/26/14",0,"Porotona","EDE","M","S, CP","1+","Skull","Glossy",44.5,23.5,42.2,11.5,NA,260.04,"N",NA,0,1,1,7,8.58,NA,"Prebreed",16.6,19.5,185.3530233,0,"YES","yes",NA,-0.87742656,-0.095050182,NA,"N",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",177,1620,"Yes","No",21600,26220,4620,5.22226224076665,"yes",0
"16",193.83,"16:03:00","16:09:00","0:06:00","14-04028",36132,"OWK","2014","6/26/14",0,"Porotona","EDE","M","S, CP","1+","Plumage","Glossy",44.8,23.8,38.8,11.3,NA,247.02,"N",NA,2,1,0,4,10.54,NA,"Prebreed",39.5,42.1,193.8296693,0,"NO","no",NA,0.970179702,0.098762606,NA,"N",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",177,360,"Yes","No",21600,57780,36180,5.26697978010249,"no",1
"17",228.82,"6:25:00","6:35:00","0:10:00","12-04031",36032,"BEO","2014","6/13/14",1,"Garuahi","EDE","F","Known","2","Known","Black",44,22.5,44.4,11.1,NA,262,"M","M",0,1,0,2,8.93,NA,"Prebreed",19.7,21.1,228.8228071,0,NA,"yes",NA,0.288936385,0.036181465,NA,"N",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",164,600,"Yes","No",21600,23100,1500,5.4329479359189,"yes",0
"18",233.3,"17:22:00","17:41:00","0:19:00","14-04063",36178,"OGW","2014","7/28/14",0,"Porotona","EDE","F","Egg","1+","Skull","Black",41.9,22.4,44.9,11.4,"N",266.96,"L","N",3,1,0,4,11.03,"EGG","Laying",32.1,33.3,233.2983808,0,"NO","no","Y",NA,NA,NA,"N",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",209,1140,"Yes","Yes",21600,62520,40920,5.45231823858324,"no",1
"19",307.83,"6:42:00","6:50:00","0:08:00","14-04037",36155,"YYK","2014","7/18/14",0,"Garuahi","EDE","F","Lab","1+","Skull","Black",45.4,21.6,49.9,10.4,"no",271.95,"L","L",0,1,0,1,9.43,NA,"Prebreed",40.3,38.2,307.8346065,0,"NO","no",NA,1.105042666,0.127511011,NA,"N",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",199,480,"Yes","No",21600,24120,2520,5.72956264685868,"no",1
"20",333.13,"6:58:00","7:16:00","0:18:00","14-04020",36124,"WEW","2014","6/22/14",0,"Garuahi","EDE","F","Plum","1+","Skull","Black",44.9,21.6,43.7,11.7,NA,293.94,"N","N",0,1,1,5,7.84,NA,"Prebreed",16.4,16.8,333.1329415,0,"NO","yes",NA,-0.484957334,-0.057146251,NA,"N",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",173,1080,"Yes","No",21600,25080,3480,5.80854163403558,"yes",0
"21",339.44,"6:27:00","6:44:00","0:17:00","11-07024",11026,"OEB","2014","8/2/14",1,"Garuahi","EDE","F","Plum","4+","Known","Black",43.3,22.7,48.7,10.4,"N",251.81,"H","M",0,1,1,4,9.77,NA,"Prebreed",30.8,37.6,339.4410414,0,NA,"no",NA,0.966141651,0.107532046,NA,"N",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",214,1020,"Yes","No",21600,23220,1620,5.82730026888371,"no",1
