"","Plasma.T.rd","Time.trap","Time.bled","Time.delay","FW.No","ABBBS.No.","Current.Colors","Year","Date","recap","Site","Bander","Sex","Sexed.how.","Age","Aged.how.","Plumage.Type","wing","tarsus","tail","Top.Culm","Brood.Patch","Shoulder.Area","Eyebrow","White.Chin","fat","Ectoparasites","Molt.wing","Molt.total","bird.weight","status","Breed.stage","Blood.hemato","Blood.plasma","Plasma.T","Molt.","Eccentric.molt.","Minimum.T.","Eggs","MTresid","logMTresid","Eyebrow.Length","Playback.Used.","index","Sample","pg.in.tube","recovery","total.pg","Plasma.mL","prop.in.assay","mL.in.tube","pg.mL","minTmerge","Subspecies","jul_date","Time_delay_sec","MoltYN","BreedYN","sunrise","Time.trap.sec","T_aft_sunrise","LPlasma.T","minT_compiled","andr.detected"
"42",193.51,"9:04:30","9:07:45","0:03:15","16-04018",47801,"BOB","2016","1/17/16",0,"Porotona","EDE","M","S, CP","1+","Plumage","Glossy",46.18,23.23,42.84,11.23,"N",252.1456,"N","N",0,0,1,8,8.59,"BM","Prebreed",37.79,25.96,193.51,0,NA,"no",NA,NA,NA,NA,"N",303,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",17,195,"Yes","No",21600,32670,11070,5.26532919072106,"no",1
"43",206.96,"9:47:00","9:54:25","0:07:25","16-04213",47680,"YKB","2016","3/8/16",0,"Obo","EDE","F","Plum","1","Skull","DBrown",42.69,21.78,44.24,10.31,"N",NA,"H","H",1,1,1,9,NA,"BF","Prebreed",25.94,26.2,206.96,0,"Y","no",NA,NA,NA,11,"N",365,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",68,445,"Yes","No",21600,35220,13620,5.33252553787777,"no",1
"44",219.92,"17:40:00","17:47:00","0:07:00","16-04210",47677,"BBO","2016","3/7/16",0,"Obo","EDE","F","Plum","1+","Skull","DBrown",41.97,21.59,44.07,NA,"N",NA,"H","H",NA,NA,0,4,7.31,"BF","Prebreed",34.06,39.67,219.92,0,NA,"no",NA,NA,NA,NA,"N",342,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",67,420,"Yes","No",21600,63600,42000,5.39326384385699,"no",1
"45",123.43,"6:29:00","6:38:00","0:09:00","15-04158",47745,"YWY","2016","2/23/16",1,"Porotona","EDE","F","Known","1","Known","Black",42.63,22.82,41.35,NA,"N",NA,"N","N",0,1,0,5,8.09,"BF","Prebreed",32.8,32.05,223.57,0,NA,"no",NA,NA,NA,NA,"N",325,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",54,540,"Yes","No",21600,23340,1740,5.40972456412217,"no",1
"46",230.17,"6:58:47","7:04:14","0:05:27","14-04039",36157,"BGO","2016","3/10/16",1,"Porotona","RAB","M","Known","3+","Known","Glossy",46.4,24,43.9,NA,NA,NA,"N","N",2,0,1,6,9.43,"BM","Prebreed",50.7,43.4,230.17,0,"N","no",NA,NA,NA,NA,"Y",332,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",70,327,"Yes","No",21600,25127,3527,5.4388181663356,"no",1
"47",232.04,"7:02:00","7:07:27","0:05:27","14-04022",36126,"YOB","2016","2/21/16",1,"Porotona","RAB","F","Known","3+","Known","Black",44.97,22.78,50.43,NA,"Y",NA,"L","N",1,0,0,4,8.89,NA,"Prebreed",53,38.61,232.04,0,NA,"no",NA,NA,NA,NA,"N",323,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",52,327,"Yes","No",21600,25320,3720,5.44690977059786,"no",1
"48",239.22,"8:15:00","8:19:00","0:04:00","16-04231",33215,"KGO","2016","3/15/16",0,"Obo","EDE","F","Plum","1+","Skull","LBrown",43.74,21.89,50.5,9.9,"N",NA,"H","H",1,1,1,8,7.48,"BF","Prebreed",40.98,27.97,239.22,0,"N","no",NA,NA,NA,NA,"Y",340,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",75,240,"Yes","No",21600,29700,8100,5.47738363062132,"no",1
"49",243.64,"6:39:15","6:43:03","0:03:48","14-04045",36198,"GYK","2016","2/23/16",1,"Porotona","RAB","F","Plum","3+","Known","Black",43.23,22.93,42.7,NA,"Y",NA,"N","N",2,0,1,5,8.24,"BF","Incub",50.03,50.36,243.64,0,"N","no",NA,NA,NA,NA,"N",324,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",54,228,"Yes","Yes",21600,23955,2355,5.49569172596828,"no",1
"50",271.84,"6:34:45","6:38:20","0:03:35","15-04105",36186,"BGK","2016","1/18/16",1,"Porotona","EDE","F","S, BP","2+","Known","Black",43.4,22.35,46.13,NA,"Y",NA,"N","N",0,0,0,1,8.44,"BF","Nestlg",43.9,40.49,271.84,0,NA,"no",NA,NA,NA,NA,"N",305,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",18,215,"Yes","Yes",21600,23685,2085,5.60521365792362,"no",1
"51",373.28,"15:55:42","15:59:55","0:04:13","12-04015",36016,"BWE","2016","3/21/16",1,"Garuahi","RAB","M","S, CP","4","Known","Glossy",44.6,24.1,43.6,NA,NA,NA,"N","N",2,0,1,5,10.15,"BM","Fledglg",44.9,39,373.28,0,NA,"no",NA,NA,NA,NA,"N",337,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",81,253,"Yes","Yes",21600,57342,35742,5.92232880827312,"no",1
"52",445.65,"8:00:22","8:06:00","0:05:38","16-04046",47816,"GYY","2016","2/20/16",0,"Porotona","RAB","M","S, CP","1+","Plumage","Glossy",45.18,23.57,44.5,NA,NA,NA,"N","N",1,1,1,3,8.91,"BM","Prebreed",52.06,46.19,445.65,0,NA,"no",NA,NA,NA,NA,"N",322,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",51,338,"Yes","No",21600,28822,7222,6.09953389057673,"no",1
"53",447.91,"18:10:00","18:15:20","0:05:20","15-04123",47707,"GWO","2016","2/2/16",1,"Garuahi","EDE","F","S, BP","2+","Known","Black",44.26,23.06,44.78,NA,"Y",NA,"L","L",2,0,0,2,9.4,"BF","Prebreed",36.19,36.94,447.91,0,NA,"no",NA,NA,NA,NA,"N",314,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",33,320,"Yes","No",21600,65400,43800,6.10459231937617,"no",1
"54",449.73,"18:01:03","18:04:38","0:03:35","16-04052",47823,"KOB","2016","2/15/16",0,"Porotona","RAB","F","Plum","0+",NA,"UNK",44.8,22.7,48.7,NA,"N",NA,"N","M",2,0,NA,1,8.77,"BF","Prebreed",19.5,20.9,449.73,0,NA,"no",NA,NA,NA,NA,"Y",333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",46,215,"Yes","No",21600,64863,43263,6.10864740269233,"no",1
"55",459.93,"10:34:00","10:43:00","0:09:00","15-04035",47639,"BGK","2016","3/15/16",1,"Obo","EDE","F","Known","2+","Known","DBrown",41.85,22.11,48.07,NA,"Y",NA,NA,NA,1,1,1,2,8.55,"BF","Laying",24.7,26.4,459.93,0,NA,"no","Y",NA,NA,NA,"Y",346,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",75,540,"Yes","Yes",21600,38040,16440,6.13107430399047,"no",1
"56",472.66,"7:43:00","7:54:00","0:11:00","15-04028",47632,"WWK","2016","3/13/16",1,"Obo","EDE","M","S, CP","2+","Known","Glossy",45.2,21.71,44.35,9.88,NA,326.3188,"N","N",0,1,1,6,8.24,"BM","Prebreed",52.29,48.27,472.66,0,"Y","no",NA,NA,NA,NA,"Y",364,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",73,660,"Yes","No",21600,27780,6180,6.15837631395214,"no",1
"57",584.65,"8:30:42","8:35:30","0:04:48","15-04156",47743,"OEE","2016","3/20/16",1,"Porotona","RAB","M","S, CP","2+","Known","Glossy",46.2,23.9,45.5,NA,NA,NA,"N","N",1,0,1,3,9.37,NA,"Prebreed",55.9,52.9,584.65,0,"?","no",NA,NA,NA,NA,"Y",336,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",80,288,"Yes","No",21600,30642,9042,6.37101337758633,"no",1
"58",605.1,"6:53:00","7:02:00","0:09:00","14-04027",36131,"KOK","2016","2/23/16",1,"Porotona","EDE","M","S, CP","3+","Known","Glossy",47.01,24.41,45.24,NA,NA,NA,"N","N",0,0,0,0,9.91,"BM","Prebreed",26.2,22.6,605.1,0,NA,"no",NA,NA,NA,NA,"N",326,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",54,540,"No","No",21600,24780,3180,6.40539373362828,"no",1
"59",606.06,"10:15:00","10:22:00","0:07:00","15-04053",47654,"KBY","2016","3/14/16",1,"Obo","EDE","F","Known","2+","Known","DBrown",42.96,22.04,44.1,NA,"N",NA,"H","H",0,1,1,6,7.45,"BF","Prebreed",51.08,41.47,606.06,0,NA,"no",NA,NA,NA,NA,"N",355,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",74,420,"Yes","No",21600,36900,15300,6.40697899106915,"no",1
"60",609.69,"10:03:00","10:07:00","0:04:00","12-04070",36071,"BWY","2016","2/3/16",1,"Garuahi","RB","M","S, CP","5+","Known","Glossy",47.81,23.31,45.43,NA,NA,NA,"N","N",1,2,1,7,10.05,"BM","Nestlg",37.97,35.87,609.69,0,"N","no",NA,NA,NA,NA,"N",307,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",34,240,"Yes","Yes",21600,36180,14580,6.41295063127033,"no",1
"61",621.48,"8:39:30","8:44:30","0:05:00","14-04052",36169,"YWB","2016","2/28/16",1,"Porotona","RAB","F","S, BP","3+","Known","Black",43,22.9,46.1,NA,"Y",NA,"L","N",1,0,0,1,8.57,"BF","Prebreed",50.6,49,621.48,0,NA,"no",NA,NA,NA,NA,"Y",328,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",59,300,"Yes","No",21600,31170,9570,6.4321037302238,"no",1
"62",653.1,"8:37:20","8:45:30","0:08:10","15-04133",47719,"EGB","2016","2/2/16",1,"Garuahi","EDE","M","S, CP","2+","Known","Glossy",44.41,24.31,42.95,NA,"N",NA,"N","N",0,0,1,5,9.52,NA,"Prebreed",44.82,41.49,653.1,0,"N","no",NA,NA,NA,NA,"Y",312,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",33,490,"Yes","No",21600,31040,9440,6.48173025690861,"no",1
"63",654.57,"6:57:20","7:01:15","0:03:55","15-04173",47760,"EBB","2016","2/2/16",1,"Garuahi","EDE","M","S, CP","2+","Known","Glossy",23.86,40.43,12.29,12.29,"N",NA,"N","N",0,0,1,7,9.13,NA,"Prebreed",34.42,30.62,654.57,0,"NO","no",NA,NA,NA,NA,"N",310,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",33,235,"Yes","No",21600,25040,3440,6.48397853150267,"no",1
"64",661.46,"6:16:00","6:23:45","0:07:45","14-04058",36175,"WGB","2016","2/20/16",1,"Porotona","RAB","M","S, CP","2","Known","Glossy",45.93,22.64,43.49,NA,"N",NA,"N","N",0,2,1,4,8.4,"BM","Incub",51.42,42.16,661.46,0,NA,"no",NA,NA,NA,NA,"N",320,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",51,465,"Yes","Yes",21600,22560,960,6.49444951309481,"no",1
"65",669.12,"7:28:00","7:34:35","0:06:35","16-04214",47681,"BWY","2016","3/13/16",0,"Obo","PEC","F","Plum","1+","Skull","DBrown",42.41,22.44,44.14,NA,"N",NA,"H","H",1,1,1,2,8.98,"BF","Laying",38.44,45.15,669.12,0,"N","no",NA,NA,NA,NA,"N",366,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",73,395,"Yes","Yes",21600,26880,5280,6.50596341624027,"no",1
"66",746.06,"17:17:30","17:27:00","0:09:30","15-04111",36192,"EYE","2016","2/7/16",1,"Porotona","EDE","M","S, CP","1","Known","Glossy",43.53,23.37,40.16,NA,NA,NA,"N","N",0,1,1,6,9.34,NA,"Prebreed",22.79,19.94,746.06,0,"Y","no",NA,NA,NA,NA,"N",318,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",38,570,"Yes","No",21600,62250,40650,6.61480602592395,"no",1
"67",878.91,"10:15:00","10:26:00","0:11:00","16-04227",47694,"KGY","2016","3/14/16",0,"Obo","EDE","M","S, CP","1+","Plumage","Glossy",43.63,21.87,41.08,NA,NA,299.5344,"N","N",0,1,1,4,7.34,NA,"Prebreed",19.53,17.37,878.91,0,"Y","no",NA,NA,NA,NA,"N",353,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",74,660,"Yes","No",21600,36900,15300,6.77868250336456,"no",1
"68",898.88,"6:55:31","7:00:45","0:05:14","15-04107",36188,"GKO","2016","2/14/16",1,"Porotona","RAB","F","S, BP","2+","Known","Black",44.02,22.31,46.29,NA,"Y",NA,"L","M",2,0,0,3,NA,"BF","Nestlg",41.9,43.12,898.88,0,"N","no",NA,NA,NA,NA,"Y",319,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",45,314,"Yes","Yes",21600,24931,3331,6.80114954391588,"no",1
"69",959.3,"16:48:15","16:54:00","0:05:45","15-04144",47731,"GEW","2016","2/3/16",1,"Garuahi","RB","M","S, CP","2+","Known","Glossy",44.86,23.18,40.06,NA,"N",NA,"N","N",3,2,0,5,9.56,"BM","Prebreed",43.68,43.96,959.3,0,"N","no",NA,NA,NA,NA,"N",315,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",34,345,"Yes","No",21600,60495,38895,6.8662038518239,"no",1
"70",1132.65,"18:03:52","18:09:00","0:05:08","13-04005",36093,"GYB","2016","3/22/16",1,"Garuahi","RAB","M","S, CP","3","Known","Glossy",47,24.3,41.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.76,"BM","Fledglg",18.3,19.9,1132.65,NA,NA,"no",NA,NA,NA,NA,"Y",339,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",82,308,NA,"Yes",21600,65032,43432,7.03231529891754,"no",1
"71",1156.34,"8:50:45","8:57:00","0:06:15","15-04154",47741,"WBG","2016","2/23/16",1,"Porotona","RAB","F","S, BP","2+","Known","Black",43.16,23.46,47.83,NA,"Y",NA,"H","M",2,0,1,2,8.6,"BF","Prebreed",43.3,45.58,1156.34,0,"Y","no",NA,NA,NA,6,"N",327,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",54,375,"Yes","No",21600,31845,10245,7.05301512363527,"no",1
"72",1220.08,"8:53:00","8:59:00","0:06:00","16-04216",47683,"WWE","2016","3/13/16",0,"Obo","PEC","F","S, BP","1+","Plumage","DBrown",41.67,21.52,50.66,NA,"Y",NA,"H","H",1,1,0,1,7.79,"BF","Incub",47.31,43.51,1220.08,0,NA,"no",NA,NA,NA,NA,"N",360,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",73,360,"Yes","Yes",21600,31980,10380,7.10667170934793,"no",1
"73",1264.45,"17:22:00","17:30:00","0:08:00","15-04132",47717,"OOY","2016","2/1/16",1,"Garuahi","EDE","F","Plum","2+","Known","Black",44.2,22.79,43.09,NA,"N",NA,"N","N",1,1,1,8,9.2,"BF","Fledglg",38,42,1264.45,0,NA,"no",NA,NA,NA,NA,"N",309,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",32,480,"Yes","Yes",21600,62520,40920,7.14239252400756,"no",1
"74",1294.29,"6:49:03","6:58:09","0:09:06","14-04056",36173,"GEE","2016","2/16/16",1,"Porotona","RAB","M","Known","2","Known","Glossy",44.9,23.6,43.1,NA,NA,NA,"N","N",2,0,1,2,9.07,"BM","Prebreed",51.5,52.8,1294.29,0,"?","no",NA,NA,NA,NA,"Y",335,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",47,546,"Yes","No",21600,24543,2943,7.16571756123451,"no",1
"75",1329.79,"10:32:10","10:35:35","0:03:25","16-04223",47690,"WOK","2016","3/14/16",0,"Obo","PEC","M","S, CP","1+","Plumage","Glossy",42.95,21.86,48.05,NA,"N",NA,"N","N",1,2,0,6,7.76,NA,"Prebreed",44.78,35.18,1329.79,0,"N","no",NA,NA,NA,NA,"N",351,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",74,205,"Yes","No",21600,37930,16330,7.19277631401227,"no",1
"76",1559.58,"8:53:00","9:04:00","0:11:00","16-04215",47682,"EWG","2016","3/13/16",0,"Obo","EDE","M","S, CP","1+","Skull","Glossy",43.17,21.2,40.54,11.3,NA,227.0898,"N","N",0,1,1,4,7.04,"BM","Incub",43.5,43.3,1559.58,0,"N","no",NA,NA,NA,NA,"N",359,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",73,660,"Yes","Yes",21600,31980,10380,7.35217183322524,"no",1
"77",1708.36,"17:03:00","17:07:35","0:04:35","15-04163",47753,"BKG","2016","2/6/16",1,"Porotona","RAB","M","S, CP","2+","Known","Glossy",44.34,23.27,40.09,NA,"N",NA,"N","N",2,1,1,7,8.54,"BM","Nestlg",45.94,43.12,1708.36,0,"N","no",NA,NA,NA,NA,"N",316,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",37,275,"Yes","Yes",21600,61380,39780,7.44328912497277,"no",1
"78",1758.77,"6:19:20","6:24:56","0:05:36","16-04051",47822,"GKK","2016","3/6/16",0,"Porotona","RAB","M","S, CP","1+","Plumage","Glossy",45.1,23.1,45.1,NA,NA,NA,"N","N",2,0,1,5,9.16,"BM","Prebreed",54.1,43.2,1758.77,0,NA,"no",NA,NA,NA,NA,"N",331,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",66,336,"Yes","No",21600,22760,1160,7.47236998007681,"no",1
"79",1848.94,"18:07:00","18:11:00","0:04:00","15-04013",47618,"GEB","2016","3/8/16",1,"Obo","EDE","M","Known","2+","Known","Glossy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM","Build",33.45,27.36,1848.94,NA,NA,"no",NA,NA,NA,NA,"N",362,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",68,240,NA,"Yes",21600,65220,43620,7.52236778088766,"no",1
"80",2815.97,"6:16:00","6:21:45","0:05:45","15-04101",36182,"EGO","2016","2/20/16",1,"Porotona","RAB","F","S, BP","2+","Known","Black",44.84,23.3,44.86,NA,"Y",NA,"L","N",1,1,0,3,8.57,"BF","Incub",43.24,32.88,2815.97,0,NA,"no",NA,NA,NA,NA,"N",321,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",51,345,"Yes","Yes",21600,22560,960,7.94306206381209,"no",1
"81",2859.91,"17:08:00","17:13:00","0:05:00","14-04110",36143,"BOY","2016","3/7/16",1,"Obo","EDE","M","S, CP","3+","Known","Glossy",42.91,21.72,39.13,9.09,NA,322.5048,"N","N",1,0,1,11,7.93,"BM","Prebreed",48.15,32.48,2859.91,0,"Y","no",NA,NA,NA,NA,"N",367,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",67,300,"Yes","No",21600,61680,40080,7.95854543478729,"no",1
"82",3634.95,"11:54:15","11:59:50","0:05:35","15-04010",47615,"WOG","2016","3/12/16",1,"Obo","EDE","M","S, CP","2+","Known","Glossy",43.16,22.63,42.99,NA,NA,NA,"N","N",0,1,0,3,7.6,"BM","Nestlg",56.22,49.73,3634.95,0,NA,"no",NA,NA,NA,NA,"N",361,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",72,335,"Yes","Yes",21600,42855,21255,8.19835063471483,"no",1
"83",4791.14,"13:24:00","13:28:00","0:04:00","15-04023",47627,"WEY","2016","3/12/16",1,"Obo","PEC","M","S, CP","1","Known","Glossy",42.79,23.21,39.26,NA,NA,NA,NA,"n",0,2,1,7,7.84,"BM","Build",33.42,26.05,4791.14,0,"Y","no",NA,NA,NA,NA,"N",363,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",72,240,"Yes","Yes",21600,48240,26640,8.47452365791308,"no",1
"84",6025.95,"10:21:00","10:30:55","0:09:55","15-04054",47655,"OKE","2016","3/14/16",1,"Obo","EDE","M","S, CP","2+","Known","Glossy",42.72,22.7,38.18,NA,NA,276.0597,"N","N",0,1,1,5,7.9,NA,"Prebreed",52.55,39.29,6025.95,0,"N","no",NA,NA,NA,NA,"N",354,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.lorentzi",74,595,"Yes","No",21600,37260,15660,8.70383042227779,"no",1
"85",109.1,"16:03:00","16:06:00","0:03:00","14-04029",36133,"BGG","2014","6/26/14",0,"Porotona","EDE","F","Plum","1+","Skull","Black",42.7,23.4,44.6,11,NA,236.25,"M",NA,2,1,0,2,10.21,NA,"Prebreed",28.8,41.1,109.1020831,0,NA,"no",NA,1.031555708,0.109949451,NA,"N",23,30,2.64,0.706496978,3.736746346,0.0411,0.833333333,0.03425,109.1020831,"no","M.a.moretoni",177,180,"Yes","No",21600,57780,36180,4.69228398614896,"no",1
"86",117.5,"6:38:00","6:45:00","0:07:00","14-04038",36156,"EYG","2014","7/22/14",0,"Porotona","EDE","F","S, BP","1+","Skull","Black",43.7,22.2,49.7,NA,"Yes",267.96,"L","L",2,NA,0,2,8.32,"BF","Prebreed",55.5,43.3,117.4978124,0,"NO","no",NA,-0.289452987,-0.03093769,NA,"N",61,2,2.6,0.613249096,4.239712729,0.0433,0.833333333,0.036083333,117.4978124,"no","M.a.moretoni",203,420,"Yes","No",21600,23880,2280,4.76641971553856,"no",1
"87",137.9,"17:08:00","17:16:00","0:08:00","14-04057",36174,"GOE","2014","7/26/14",0,"Porotona","EDE","M","S, CP","1+","Plumage","Glossy",46.6,23.1,49.9,11.5,"N",292.05,"N","N",2,1,0,5,9.39,NA,"Prebreed",53.4,48.5,137.8970038,0,"NO","no",NA,0.082431758,0.011308125,NA,"N",80,44,3.18,0.570573763,5.573337237,0.0485,0.833333333,0.040416667,137.8970038,"no","M.a.moretoni",207,480,"Yes","No",21600,61680,40080,4.92650705722456,"no",1
"88",229.99,"17:05:00","17:08:00","0:03:00","14-04047",36164,"OKG","2014","7/22/14",0,"Porotona","EDE","M","S, CP","1+","CP","Glossy",44,22.8,41.8,10.2,"NO",292.9,"N","N",2,0,1,1,9.19,"BM","Prebreed",79.8,83.5,229.9888061,0,NA,"no",NA,-0.005174504,0.002073524,NA,"N",70,37,7.86,0.491146007,16.00338776,0.0835,0.833333333,0.069583333,229.9888061,"no","M.a.moretoni",203,180,"Yes","No",21600,61500,39900,5.43803063860838,"no",1
"89",241.69,"6:50:00","6:52:00","0:02:00","14-04039",36157,"BGO","2014","7/22/14",0,"Porotona","EDE","M","S, CP","1+","Plumage","Glossy",46.2,23.5,44.1,11.1,"N",237.9,"N","N",0,1,1,6,8.78,"BM","Prebreed",46.4,39.6,241.6869332,0,"NO","no",NA,-0.621229691,-0.065985028,NA,"N",62,31,5.12,0.641952434,7.975668796,0.0396,0.833333333,0.033,241.6869332,"no","M.a.moretoni",203,120,"Yes","No",21600,24600,3000,5.48764322418763,"no",1
"90",266.62,"10:55:00","11:00:00","0:05:00","14-04002",36106,"EKY","2014","7/16/14",1,"Garuahi","SK","F","Plum","1+","Known","Black",43.8,23.3,42.5,11.4,"YES",224.2,"L","M",0,1,1,1,9.01,"BF","Incub",38,50.8,266.6174071,0,NA,"no",NA,-0.12102835,-0.009891382,NA,"N",55,3,5.96,0.528050299,11.28680357,0.0508,0.833333333,0.042333333,266.6174071,"no","M.a.moretoni",197,300,"Yes","Yes",21600,39300,17700,5.58581469856135,"no",1
"91",272.42,"6:25:00","6:32:00","0:07:00","14-04048",36165,"GWB","2014","7/23/14",0,"Porotona","SK","M","S, CP","1+","Plumage","Glossy",46.5,23.8,42.4,10.5,"no",293.04,"N","N",0,0,0,5,8.57,NA,"Prebreed",44.8,45.9,272.4178075,0,NA,"no",NA,-0.999820298,-0.108147204,NA,"N",71,38,7.55,0.72456945,10.41998114,0.0459,0.833333333,0.03825,272.4178075,"no","M.a.moretoni",204,420,"Yes","No",21600,23100,1500,5.60733694475246,"no",1
"92",312.21,"17:03:00","17:17:00","0:14:00","14-04110",36143,"BOY","2014","7/4/14",0,"Obo","EDE","M","S, CP","1+","Plumage","Glossy",42.3,21.8,39.4,9.3,NA,258.06,"N",NA,1,0,0,4,7.96,NA,"Prebreed",47.5,47.4,312.209172,0,NA,"no",NA,-0.86052871,-0.099429867,NA,"N",33,25,8.34,0.676274945,12.3322623,0.0474,0.833333333,0.0395,312.209172,"no","M.a.lorentzi",185,840,"Yes","No",21600,61380,39780,5.74367338625325,"no",1
"93",329.57,"16:07:00","16:15:00","0:08:00","14-04054",36171,"EWW","2014","7/26/14",0,"Porotona","EDE","M","S, CP","1+","Plumage","Glossy",44.1,23.3,40.1,10.7,"N",289.9,"N","N",1,2,0,6,8.4,"BM","Prebreed",42.5,40.7,329.5665028,0,"NO","no",NA,-0.982497401,-0.108213576,NA,"N",77,42,5.86,0.524253561,11.17779722,0.0407,0.833333333,0.033916667,329.5665028,"no","M.a.moretoni",207,480,"Yes","No",21600,58020,36420,5.79777816301628,"no",1
"94",362.43,"6:29:00","6:39:00","0:10:00","12-04046",36047,"YBK","2014","6/24/14",1,"Garuahi","EDE","M","S, CP","3+","Known","Glossy",44,22.7,41.1,10.5,NA,277.77,"N",NA,0,1,1,5,8.99,NA,"Prebreed",42.9,48,362.4303112,0,"NO","no",NA,-0.092780766,-0.007471959,NA,"N",17,12,9.41,0.649090302,14.49721245,0.048,0.833333333,0.04,362.4303112,"no","M.a.moretoni",175,600,"Yes","No",21600,23340,1740,5.89283221084778,"no",1
"95",415.3,"16:50:00","17:24:00","0:34:00","12-04013",36014,"BEK","2014","7/13/14",1,"Garuahi","EDE","M","S, CP","3+","Known","Glossy",45.9,23.1,43.2,11.2,"No",229.32,"N","N",2,2,1,7,9.34,NA,"Prebreed",43.4,48.5,415.2959602,0,"YES?","no",NA,-0.005032822,0.00190629,NA,"N",42,10,10.9,0.649394041,16.78487839,0.0485,0.833333333,0.040416667,415.2959602,"no","M.a.moretoni",194,2040,"Yes","No",21600,60600,39000,6.02899142316344,"no",1
"96",435.04,"14:16:00","14:25:00","0:09:00","14-04027",36131,"KOK","2014","6/26/14",0,"Porotona","EDE","M","S, CP","1+","Skull","Glossy",47,24.1,47.4,11,NA,322.5,"N",NA,1,1,1,8,10.27,NA,"Prebreed",30.2,29.3,435.0350125,0,"NO","no",NA,0.587785964,0.061030696,NA,"N",22,29,7.69,0.723961972,10.62210489,0.0293,0.833333333,0.024416667,435.0350125,"no","M.a.moretoni",177,540,"Yes","No",21600,51360,29760,6.0754265163554,"no",1
"97",773.68,"8:40:00","8:45:00","0:05:00","12-04052",36053,"BKO","2014","7/16/14",1,"Garuahi","EDE","M","S, CP","3+","Known","Glossy",44.6,22.7,43.7,10.7,"NO",247.97,"N","N",0,1,1,4,8.66,NA,"Prebreed",42.6,35.7,773.6764847,0,"NO","no",NA,-0.497709925,-0.053193462,NA,"N",54,13,11.42,0.496157701,23.01687542,0.0357,0.833333333,0.02975,773.6764847,"no","M.a.moretoni",197,300,"Yes","No",21600,31200,9600,6.65115380778862,"no",1
