"","Trial_Sex","Date","Time","Subspecies","Sex","MntM","MntF","Song_actual","BreedYN","Mount_Pheno","Sex_Mount_Pheno","duet_song_rate","total_T_less_5_proportion","Duet_lat","Flyby_proportion","lat_5","Leapfrog_prop"
"34","B1630_F","3/11/16","8:43","M.a.lorentzi","F","B1","A3","1_M.a.lorentzi","Y","Unornamented","F_Unornamented",0.01778316,0.00693727,8.764874,0.002222895,148.073253,0
"35","B1632_F","3/11/16","17:25","M.a.lorentzi","F","B4","A3","3_M.a.lorentzi","N","Unornamented","F_Unornamented",0,0.05731457,NA,0,194.818518,0
"36","B1633_F","3/11/16","18:00","M.a.lorentzi","F","B3","A1","6_M.a.lorentzi","N","Unornamented","F_Unornamented",0.001095012,0.024631268,380.243968,0.001095012,206.285384,0
"37","B1636_F","3/12/16","18:55","M.a.lorentzi","F","B1","A2","3_M.a.lorentzi","N","Unornamented","F_Unornamented",0.005685277,0.549977021,32.494925,0,38.638244,0
"38","M1606_F","1/25/16","6:15","M.a.moretoni","F","B3","A4","5_M.a.moretoni","N","Unornamented","F_Unornamented",0.004248566,0.15671838,14.371216,0.001416189,70.704898,0.00141618866935628
"39","M1606_M","1/25/16","6:15","M.a.moretoni","M","B3","A4","5_M.a.moretoni","N","Unornamented","M_Unornamented",0.002832377,0.132853769,21.351941,0,48.076306,0.00141618866935628
"40","M1607_F","1/25/16","7:27","M.a.moretoni","F","B4","A1","5_M.a.moretoni","N","Unornamented","F_Unornamented",0.00803107,0.048724955,117.044421,0.003441887,226.547548,0.00229459133581288
"41","M1607_M","1/25/16","7:27","M.a.moretoni","M","B4","A1","5_M.a.moretoni","N","Unornamented","M_Unornamented",0.006883774,0.003697074,124.209814,0.003441887,134.609456,0.00229459133581288
"42","M1608_F","1/25/16","8:24","M.a.moretoni","F","B3","C1","3_M.a.moretoni","N","Ornamented","F_Ornamented",0.005976218,0.153087206,192.830711,0,163.556196,0.00478097460114654
"43","M1608_M","1/25/16","8:24","M.a.moretoni","M","B3","C1","3_M.a.moretoni","N","Ornamented","M_Ornamented",0.005976218,0.323896771,52.146894,0.001195244,163.178764,0.00478097460114654
"44","M1611_F","1/26/16","5:53","M.a.moretoni","F","B2","C1","2_M.a.moretoni","N","Ornamented","F_Ornamented",0.017591418,0,27.404539,0,NA,0.0274865899744189
"45","M1611_M","1/26/16","5:53","M.a.moretoni","M","B2","C1","2_M.a.moretoni","N","Ornamented","M_Ornamented",0.01539249,0,34.550801,0,NA,0.0274865899744189
"46","M1612_M","1/26/16","7:02","M.a.moretoni","M","B2","C1","3_M.a.moretoni","Y","Ornamented","M_Ornamented",0.008445262,0.177169255,14.249573,0,64.419944,0
"47","M1612_F","1/26/16","7:02","M.a.moretoni","F","B2","C1","3_M.a.moretoni","Y","Ornamented","F_Ornamented",0.007037719,0.199546229,10.20888,0.002815087,74.900945,0
"48","M1613_F","1/26/16","7:45","M.a.moretoni","F","B4","A3","3_M.a.moretoni","N","Unornamented","F_Unornamented",0.00775978,0.350765117,31.686115,0.003103912,61.936303,0.00465586809039223
"49","M1613_M","1/26/16","7:45","M.a.moretoni","M","B4","A3","3_M.a.moretoni","N","Unornamented","M_Unornamented",0.00775978,0.329655633,37.237834,0.004655868,0,0.00465586809039223
"50","M1614_F","1/26/16","8:58","M.a.moretoni","F","B2","A2","6_M.a.moretoni","N","Unornamented","F_Unornamented",0.002949074,0.243058113,93.05791,0.010321761,61.38925,0
"51","M1614_M","1/26/16","8:58","M.a.moretoni","M","B2","A2","6_M.a.moretoni","N","Unornamented","M_Unornamented",0,0.258781693,NA,0.005898149,19.930631,0
"52","M1615_F","1/27/16","5:55","M.a.moretoni","F","B3","C3","3_M.a.moretoni","N","Ornamented","F_Ornamented",0.003834646,0.143196264,172.708071,0.005112861,135.868129,0
"53","M1616_M","1/27/16","7:00","M.a.moretoni","M","B3","C3","6_M.a.moretoni","N","Ornamented","M_Ornamented",0.00693845,0.1048488,46.360792,0.00277538,44.01341,0.00416307008634232
"54","M1616_F","1/27/16","7:00","M.a.moretoni","F","B3","C3","6_M.a.moretoni","N","Ornamented","F_Ornamented",0.00693845,0.112981834,24.15909,0.00277538,33.099018,0.00416307008634232
"55","M1617_M","1/27/16","7:55","M.a.moretoni","M","B2","A3","2_M.a.moretoni","N","Unornamented","M_Unornamented",0,0.129553728,NA,0.002681264,63.176804,0
"56","M1617_F","1/27/16","7:55","M.a.moretoni","F","B2","A3","2_M.a.moretoni","N","Unornamented","F_Unornamented",0,0.017575522,NA,0,333.963944,0
"57","M1618_F","1/29/16","16:30","M.a.moretoni","F","B2","A4","1_M.a.moretoni","N","Unornamented","F_Unornamented",0.002737892,0.163312336,7.519245,0,27.046834,0
"58","M1618_M","1/29/16","16:30","M.a.moretoni","M","B2","A4","1_M.a.moretoni","N","Unornamented","M_Unornamented",0.001368946,0.130397562,48.222328,0,25.897176,0
"59","M1623_F","1/31/16","6:05","M.a.moretoni","F","B2","C2","5_M.a.moretoni","N","Ornamented","F_Ornamented",0.011718907,0.525518094,60.574508,0.005208403,112.716094,0
"60","M1623_M","1/31/16","6:05","M.a.moretoni","M","B2","C2","5_M.a.moretoni","N","Ornamented","M_Ornamented",0.006510504,0.317248154,69.101603,0.003906302,116.494295,0
"61","M1624_F","1/31/16","6:55","M.a.moretoni","F","B4","C1","6_M.a.moretoni","Y","Ornamented","F_Ornamented",0,0,NA,0.001104016,NA,0
