"","Time_delay_sec","Sex","Subspecies","Plasma.T","LPlasma.T","jul_date","Time_delay_sec.1","T_aft_sunrise","ABBBS.No.","Year","andr.detected","minT_compiled"
"67",120,"M","M.a.moretoni",241.6869332,5.48764322418763,203,120,3000,36157,2014,1,"no"
"68",420,"M","M.a.moretoni",272.4178075,5.60733694475246,204,420,1500,36165,2014,1,"no"
"69",840,"M","M.a.lorentzi",312.209172,5.74367338625325,185,840,39780,36143,2014,1,"no"
"70",480,"M","M.a.moretoni",329.5665028,5.79777816301628,207,480,36420,36171,2014,1,"no"
"71",600,"M","M.a.moretoni",362.4303112,5.89283221084778,175,600,1740,36047,2014,1,"no"
"73",540,"M","M.a.moretoni",435.0350125,6.0754265163554,177,540,29760,36131,2014,1,"no"
"74",300,"M","M.a.moretoni",773.6764847,6.65115380778862,197,300,9600,36053,2014,1,"no"
"75",720,"M","M.a.moretoni",795.2521294,6.67865920827421,209,720,40920,36177,2014,1,"no"
"76",300,"F","M.a.moretoni",842.5216938,6.73639941121252,203,300,39240,36163,2014,1,"no"
"77",780,"M","M.a.moretoni",991.6699863,6.89939037683543,203,780,10680,36161,2014,1,"no"
"78",360,"M","M.a.moretoni",1127.890252,7.02810413299836,193,360,12600,36112,2014,1,"no"
"79",420,"M","M.a.moretoni",2132.682038,7.66513563938024,204,420,6600,36166,2014,1,"no"
"80",300,"M","M.a.moretoni",84.78,4.44005966592449,255,300,41820,11018,2015,1,"no"
"81",210,"F","M.a.moretoni",98.96,4.59471572808423,220,210,1920,36172,2015,1,"no"
"82",145,"M","M.a.moretoni",117.93,4.77009122810188,224,145,12270,36127,2015,1,"no"
"83",145,"M","M.a.moretoni",134.77,4.90356962178107,205,145,14520,36098,2015,1,"no"
"84",265,"M","M.a.moretoni",147.33,4.99267496871926,319,265,11145,47759,2015,1,"no"
"85",385,"M","M.a.lorentzi",149.71,5.00870008946175,183,385,12240,47606,2015,1,"no"
"86",180,"F","M.a.lorentzi",150.32,5.01276635510521,183,180,13020,47626,2015,1,"no"
"87",345,"F","M.a.moretoni",154.69,5.04142311424857,215,345,360,11019,2015,1,"no"
"88",60,"F","M.a.moretoni",161.03,5.0815906830299,280,60,10020,36186,2015,1,"no"
"89",109,"M","M.a.moretoni",170.34,5.13779643971294,317,109,7380,36122,2015,1,"no"
"90",120,"M","M.a.moretoni",189.96,5.24681352368092,269,120,1260,36166,2015,1,"no"
"91",180,"M","M.a.moretoni",191.18,5.25321539263562,245,180,41640,36090,2015,1,"no"
"92",220,"M","M.a.moretoni",191.99,5.25744328733806,324,220,35355,36131,2015,1,"no"
"93",240,"M","M.a.moretoni",199.86,5.29761712143364,317,240,42840,36112,2015,1,"no"
"94",214,"F","M.a.moretoni",200.03,5.29846735529916,308,214,38770,47708,2015,1,"no"
"95",155,"M","M.a.lorentzi",201.55,5.30603748956317,191,155,15060,47667,2015,1,"no"
"96",584,"M","M.a.moretoni",204.21,5.31914887612797,199,584,720,36090,2015,1,"no"
"97",124,"M","M.a.moretoni",206.74,5.33146196514034,325,124,1130,36166,2015,1,"no"
"98",170,"F","M.a.lorentzi",224.9,5.41565585896527,187,170,3900,47616,2015,1,"no"
"99",135,"M","M.a.moretoni",226,5.42053499927229,210,135,41940,36122,2015,1,"no"
"100",120,"M","M.a.moretoni",230.75,5.44133487338296,248,120,2520,36029,2015,1,"no"
"101",60,"F","M.a.moretoni",231.33,5.44384526251298,246,60,4560,36149,2015,1,"no"
"102",125,"M","M.a.moretoni",234.48,5.45737029640264,318,125,-78,47725,2015,1,"no"
"103",120,"M","M.a.moretoni",237.53,5.470293931287,269,120,7380,36128,2015,1,"no"
"104",180,"F","M.a.lorentzi",249.81,5.52070062891584,180,180,44240,47613,2015,1,"no"
"105",360,"F","M.a.moretoni",254.53,5.53941870723602,254,360,7680,47764,2015,1,"no"
"106",347,"M","M.a.lorentzi",264.05,5.57613847915294,181,347,24720,47618,2015,1,"no"
"107",120,"F","M.a.moretoni",265.92,5.58319551166708,210,120,41820,47728,2015,1,"no"
"108",180,"F","M.a.moretoni",266.75,5.58631189018186,268,180,43080,36172,2015,1,"no"
"109",240,"M","M.a.moretoni",267.38,5.58867086755498,275,240,-900,36162,2015,1,"no"
"110",300,"M","M.a.lorentzi",269.85,5.59786624906465,182,300,11460,47621,2015,1,"no"
"111",120,"F","M.a.moretoni",272.27,5.60679422100652,280,120,38340,47758,2015,1,"no"
"112",120,"F","M.a.moretoni",283.88,5.64855161365678,248,120,42180,11034,2015,1,"no"
"113",196,"F","M.a.moretoni",297.85,5.6965900040747,218,196,1657,36126,2015,1,"no"
"114",184,"M","M.a.moretoni",302.64,5.71254398032477,318,184,5870,47726,2015,1,"no"
"115",240,"F","M.a.moretoni",310.94,5.73959996752159,283,240,6660,47779,2015,1,"no"
"116",205,"M","M.a.lorentzi",315.27,5.75342941454561,181,205,7380,47615,2015,1,"no"
"117",240,"F","M.a.moretoni",323.19,5.77824038557421,246,240,12840,36181,2015,1,"no"
"118",149,"M","M.a.moretoni",323.2,5.77827132664694,197,149,1200,36028,2015,1,"no"
"119",360,"M","M.a.lorentzi",324.73,5.78299406781897,180,360,44439,47614,2015,1,"no"
"120",180,"M","M.a.moretoni",340.71,5.83103167557166,249,180,12660,36071,2015,1,"no"
"121",60,"F","M.a.moretoni",341.93,5.83460603775056,285,60,9900,36188,2015,1,"no"
"122",180,"F","M.a.moretoni",344.63,5.84247137776247,317,180,38650,36124,2015,1,"no"
"123",165,"M","M.a.lorentzi",380.1,5.9404343759952,187,165,8400,47699,2015,1,"no"
"124",518,"M","M.a.lorentzi",388.84,5.96316794795287,180,518,23820,47609,2015,1,"no"
"125",140,"M","M.a.moretoni",393.57,5.97525894276105,325,140,11520,36164,2015,1,"no"
"126",300,"M","M.a.moretoni",395.2,5.97939196587371,252,300,39060,36122,2015,1,"no"
"127",172,"F","M.a.moretoni",399.12,5.98926212355278,318,172,2135,47723,2015,1,"no"
"128",180,"M","M.a.moretoni",411.75,6.02041636905775,307,180,8520,11027,2015,1,"no"
"129",240,"M","M.a.moretoni",421.89,6.04474461655027,301,240,13380,36128,2015,1,"no"
"130",349,"F","M.a.moretoni",424.22,6.05025218859107,206,349,600,36149,2015,1,"no"
"131",346,"M","M.a.lorentzi",427.45,6.05783732247224,182,346,3674,47619,2015,1,"no"
"132",300,"M","M.a.moretoni",433.19,6.07117643083454,228,300,9690,36164,2015,1,"no"
"133",205,"F","M.a.moretoni",489.38,6.19313928380654,203,205,3065,36002,2015,1,"no"
"134",205,"M","M.a.moretoni",495.07,6.20469916671207,201,205,13905,36029,2015,1,"no"
