ABBBS.No.,Date,Year,Sex,Subspecies,Plasma.T,LPlasma.T,Time_delay_sec,jul_date,T_aft_sunrise,andr.detected
36166,7/23/14,2014,M,M.a.moretoni,2132.68,7.665134684,420,204,6600,1
11018,9/12/15,2015,M,M.a.moretoni,84.78,4.440059666,300,255,41820,1
36172,8/8/15,2015,F,M.a.moretoni,98.96,4.594715728,210,220,1920,1
36127,8/12/15,2015,M,M.a.moretoni,117.93,4.770091228,145,224,12270,1
36098,7/24/15,2015,M,M.a.moretoni,134.77,4.903569622,145,205,14520,1
47759,11/15/15,2015,M,M.a.moretoni,147.33,4.992674969,265,319,11145,1
47606,7/2/15,2015,M,M.a.lorentzi,149.71,5.008700089,385,183,12240,1
47626,7/2/15,2015,F,M.a.lorentzi,150.32,5.012766355,180,183,13020,1
11019,8/3/15,2015,F,M.a.moretoni,154.69,5.041423114,345,215,360,1
36186,10/7/15,2015,F,M.a.moretoni,161.03,5.081590683,60,280,10020,1
36122,11/13/15,2015,M,M.a.moretoni,170.34,5.13779644,109,317,7380,1
36166,9/26/15,2015,M,M.a.moretoni,189.96,5.246813524,120,269,1260,1
36090,9/2/15,2015,M,M.a.moretoni,191.18,5.253215393,180,245,41640,1
36131,11/20/15,2015,M,M.a.moretoni,191.99,5.257443287,220,324,35355,1
36112,11/13/15,2015,M,M.a.moretoni,199.86,5.297617121,240,317,42840,1
47708,11/4/15,2015,F,M.a.moretoni,200.03,5.298467355,214,308,38770,1
47667,7/10/15,2015,M,M.a.lorentzi,201.55,5.30603749,155,191,15060,1
36090,7/18/15,2015,M,M.a.moretoni,204.21,5.319148876,584,199,720,1
36166,11/21/15,2015,M,M.a.moretoni,206.74,5.331461965,124,325,1130,1
47616,7/6/15,2015,F,M.a.lorentzi,224.9,5.415655859,170,187,3900,1
36122,7/29/15,2015,M,M.a.moretoni,226,5.420534999,135,210,41940,1
36029,9/5/15,2015,M,M.a.moretoni,230.75,5.441334873,120,248,2520,1
36149,9/3/15,2015,F,M.a.moretoni,231.33,5.443845263,60,246,4560,1
47725,11/14/15,2015,M,M.a.moretoni,234.48,5.457370296,125,318,-78,1
36128,9/26/15,2015,M,M.a.moretoni,237.53,5.470293931,120,269,7380,1
47613,6/29/15,2015,F,M.a.lorentzi,249.81,5.520700629,180,180,44240,1
47764,9/11/15,2015,F,M.a.moretoni,254.53,5.539418707,360,254,7680,1
47618,6/30/15,2015,M,M.a.lorentzi,264.05,5.576138479,347,181,24720,1
47728,7/29/15,2015,F,M.a.moretoni,265.92,5.583195512,120,210,41820,1
36172,9/25/15,2015,F,M.a.moretoni,266.75,5.58631189,180,268,43080,1
36162,10/2/15,2015,M,M.a.moretoni,267.38,5.588670868,240,275,-900,1
47621,7/1/15,2015,M,M.a.lorentzi,269.85,5.597866249,300,182,11460,1
47758,10/7/15,2015,F,M.a.moretoni,272.27,5.606794221,120,280,38340,1
11034,9/5/15,2015,F,M.a.moretoni,283.88,5.648551614,120,248,42180,1
36126,8/6/15,2015,F,M.a.moretoni,297.85,5.696590004,196,218,1657,1
47726,11/14/15,2015,M,M.a.moretoni,302.64,5.71254398,184,318,5870,1
47779,10/10/15,2015,F,M.a.moretoni,310.94,5.739599968,240,283,6660,1
47615,6/30/15,2015,M,M.a.lorentzi,315.27,5.753429415,205,181,7380,1
36181,9/3/15,2015,F,M.a.moretoni,323.19,5.778240386,240,246,12840,1
36028,7/16/15,2015,M,M.a.moretoni,323.2,5.778271327,149,197,1200,1
47614,6/29/15,2015,M,M.a.lorentzi,324.73,5.782994068,360,180,44439,1
36071,9/6/15,2015,M,M.a.moretoni,340.71,5.831031676,180,249,12660,1
36188,10/12/15,2015,F,M.a.moretoni,341.93,5.834606038,60,285,9900,1
36124,11/13/15,2015,F,M.a.moretoni,344.63,5.842471378,180,317,38650,1
47699,7/6/15,2015,M,M.a.lorentzi,380.1,5.940434376,165,187,8400,1
47609,6/29/15,2015,M,M.a.lorentzi,388.84,5.963167948,518,180,23820,1
36164,11/21/15,2015,M,M.a.moretoni,393.57,5.975258943,140,325,11520,1
36122,9/9/15,2015,M,M.a.moretoni,395.2,5.979391966,300,252,39060,1
47723,11/14/15,2015,F,M.a.moretoni,399.12,5.989262124,172,318,2135,1
11027,11/3/15,2015,M,M.a.moretoni,411.75,6.020416369,180,307,8520,1
36128,10/28/15,2015,M,M.a.moretoni,421.89,6.044744617,240,301,13380,1
36149,7/25/15,2015,F,M.a.moretoni,424.22,6.050252189,349,206,600,1
47619,7/1/15,2015,M,M.a.lorentzi,427.45,6.057837322,346,182,3674,1
36164,8/16/15,2015,M,M.a.moretoni,433.19,6.071176431,300,228,9690,1
36002,7/22/15,2015,F,M.a.moretoni,489.38,6.193139284,205,203,3065,1
